MemTotal:        7795912 kB
MemFree:         5815496 kB
MemAvailable:    6197588 kB
Buffers:            7512 kB
Cached:           482740 kB
SwapCached:            0 kB
Active:           176652 kB
Inactive:        1384516 kB
Active(anon):       2656 kB
Inactive(anon):  1077496 kB
Active(file):     173996 kB
Inactive(file):   307020 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        2095792 kB
Dirty:              7664 kB
Writeback:             0 kB
AnonPages:       1071240 kB
Mapped:           360292 kB
Shmem:              9012 kB
KReclaimable:      80192 kB
Slab:             161236 kB
SReclaimable:      80192 kB
SUnreclaim:        81044 kB
KernelStack:        7140 kB
PageTables:         8992 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2683460 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36304 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
